Reporter Identifier	VALUE
A_51_P116616	4.1935186
A_51_P116636	-2.8330283
A_51_P116651	-6.2943583
A_51_P116665	0.7030592
A_51_P116687	-0.4431343
A_51_P116699	1.3512802
A_51_P116725	-6.2508154
A_51_P116755	-6.122798
A_51_P116796	-5.4730906
A_51_P116813	0.28060436
A_51_P116838	9.371558
A_51_P116889	-6.173519
A_51_P116896	-6.2511277
A_51_P116906	5.113036
A_51_P116932	-6.279153
A_51_P116940	-3.8623366
A_51_P116946	-4.388053
A_51_P116976	-1.5966105
A_51_P116986	-2.231587
A_51_P117015	-6.2434144
A_51_P117020	-6.207142
A_51_P117087	-6.3831444
A_51_P117109	1.4575014
A_51_P117115	-4.3778706
A_51_P117130	-0.4799633
A_51_P117162	2.772646
A_51_P117165	-4.2910423
A_51_P117195	-6.241677
A_51_P117206	-6.317705
A_51_P117226	2.5419855
A_51_P117236	-0.59528255
A_51_P117369	-3.9545379
A_51_P117378	-5.495386
A_51_P117385	-3.9972434
A_51_P117411	-5.016031
A_51_P117432	0.27909184
A_51_P117439	1.2475004
A_51_P117457	0.06409645
A_51_P117477	-0.36631584
A_51_P117494	2.529498
A_51_P117567	-6.2118015
A_51_P117581	1.5804539
A_51_P117600	-1.2682524
A_51_P117604	2.324832
A_51_P117612	-5.5357733
A_51_P117618	1.4887819
A_51_P117627	-4.909773
A_51_P117640	-1.7394323
A_51_P117664	0.89688015
A_51_P117666	3.5850916
A_51_P117711	-2.38767
A_51_P117739	-6.275096
A_51_P117752	-2.0091276
A_51_P117777	2.7978306
A_51_P117794	-4.660251
A_51_P117832	-0.074510574
A_51_P117835	-2.7960835
A_51_P117865	0.5108652
A_51_P117881	-6.2123632
A_51_P117890	-6.2571173
A_51_P117903	-6.281614
A_51_P117924	-1.926373
A_51_P117933	-6.3135242
A_51_P117952	-3.020523
A_51_P117995	3.0938349
A_51_P118012	-3.155952
A_51_P118024	-6.2644253
A_51_P118046	-6.2750483
A_51_P118061	-6.2082043
A_51_P118103	-2.4736047
A_51_P118132	-0.47619343
A_51_P118168	0.22555542
A_51_P118188	-5.0318584
A_51_P118223	0.25697803
A_51_P118225	-1.2178011
A_51_P118237	-0.6941023
A_51_P118246	-2.239181
A_51_P118284	-4.688148
A_51_P118300	-1.1251187
A_51_P118320	3.5745516
A_51_P118400	-6.3127875
A_51_P118415	3.9780636
