Reporter Identifier	VALUE
A_51_P119890	-6.4872313
A_51_P119900	-4.701812
A_51_P119923	2.7924519
A_51_P119932	-3.1456118
A_51_P119947	-6.531299
A_51_P119986	-0.860651
A_51_P120008	-2.0694404
A_51_P120024	-3.5197325
A_51_P120027	-6.411924
A_51_P120066	0.24405766
A_51_P120093	2.0415468
A_51_P120097	-3.727016
A_51_P120137	-1.5919199
A_51_P120201	6.1567106
A_51_P120220	-1.0800233
A_51_P120233	-6.5352917
A_51_P120239	0.6745901
A_51_P120254	1.1451416
A_51_P120257	3.541544
A_51_P120275	-4.2485385
A_51_P120295	-3.180327
A_51_P120305	3.70366
A_51_P120356	-6.535492
A_51_P120388	-6.583101
A_51_P120398	-6.499941
A_51_P120415	-5.2479577
A_51_P120448	1.66226
A_51_P120461	2.4665194
A_51_P120470	-0.25648212
A_51_P120589	-5.4131765
A_51_P120608	2.3426437
A_51_P120615	-0.77541494
A_51_P120636	0.33390522
A_51_P120645	-4.2982197
A_51_P120674	2.3019915
A_51_P120680	-4.0046344
A_51_P120688	-6.316389
A_51_P120717	3.8280172
A_51_P120729	4.552593
A_51_P120738	-6.528247
A_51_P120775	-6.5786724
A_51_P120785	-1.2517395
A_51_P120823	-3.3373303
A_51_P120830	-3.9046197
A_51_P120851	-3.9454842
A_51_P120859	5.8689947
A_51_P120875	-3.160778
A_51_P120917	-3.8644557
A_51_P120948	1.754179
A_51_P120975	-6.408546
A_51_P120990	-1.4752936
A_51_P121031	-3.5721273
A_51_P121058	3.8296757
A_51_P121086	-6.441658
A_51_P121101	-4.2033725
A_51_P121134	-5.5357275
A_51_P121179	-5.0569477
A_51_P121198	-2.4485765
A_51_P121206	1.5036154
A_51_P121228	3.660984
A_51_P121236	-1.1796713
A_51_P121252	-0.4938631
A_51_P121266	-3.2549887
